sequence_id	genotype	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2	p1_identity_recomb	p2_identity_recomb	p1_identity_nonrecomb	p2_identity_nonrecomb
KX621464.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8008	0.9395	0.8529	0.6740
KX621457.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7976	0.9334	0.8511	0.6706
KX621450.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7983	0.9349	0.8535	0.6786
EU862833.1	Genotype 1	true	4833	11477	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7921	0.9330	0.8600	0.6749
EU862827.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8030	0.9413	0.8620	0.6667
EU862824.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7944	0.9267	0.8597	0.6753
KU871301.1	Genotype 1	true	4789	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7948	0.9310	0.8540	0.6702
KU871300.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8010	0.9351	0.8529	0.6704
KT735181.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7976	0.9292	0.8546	0.6765
KM102767.1	Genotype 1	true	4692	11432	0.000000000000	3Seq	ref_AB030907	ref_D90208	0.6693	0.9029	0.8857	0.6662
KM102764.1	Genotype 1	true	4752	11432	0.000000000000	3Seq	ref_AB030907	ref_D90208	0.6700	0.9060	0.8879	0.6725
KM102762.1	Genotype 1	true	4688	11231	0.000000000000	3Seq	ref_AB030907	ref_HQ850279	0.6688	0.9299	0.8817	0.6590
EU595698.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7956	0.9333	0.8596	0.6773
EU256104.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7987	0.9373	0.8618	0.6802
EU256097.1	Genotype 1	true	4941	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7992	0.9402	0.8566	0.6811
EU256096.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9364	0.8535	0.6781
EU256095.1	Genotype 1	true	4833	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8018	0.9383	0.8618	0.6743
EU256094.1	Genotype 1	true	4789	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9371	0.8654	0.6754
EU256087.1	Genotype 1	true	4845	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7968	0.9372	0.8621	0.6728
EU256074.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7962	0.9280	0.8587	0.6746
EU256073.1	Genotype 1	true	4794	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7998	0.9362	0.8571	0.6701
EU256070.1	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7934	0.9310	0.8631	0.6793
EU256067.1	Genotype 1	true	4845	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7963	0.9361	0.8586	0.6761
EU256060.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7992	0.9343	0.8624	0.6755
EU256058.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8007	0.9328	0.8536	0.6707
EU256052.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7980	0.9339	0.8609	0.6739
EU256051.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7988	0.9364	0.8633	0.6750
EU256050.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7980	0.9391	0.8575	0.6725
EU256048.1	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7982	0.9341	0.8579	0.6850
EU256047.1	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7971	0.9360	0.8618	0.6761
EU256044.1	Genotype 1	true	4885	11103	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8001	0.9393	0.8662	0.6873
EU256043.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8001	0.9252	0.8655	0.6743
EU256041.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8020	0.9392	0.8662	0.6773
EU256040.1	Genotype 1	true	4869	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7958	0.9360	0.8605	0.6745
EU256039.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8026	0.9340	0.8633	0.6693
EU256038.1	Genotype 1	true	4869	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7966	0.9330	0.8587	0.6715
EU256037.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9351	0.8616	0.6728
EU256036.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7964	0.9362	0.8596	0.6773
EU256035.1	Genotype 1	true	4881	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7977	0.9355	0.8618	0.6796
EU256033.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7906	0.9304	0.8533	0.6742
EU256032.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8011	0.9400	0.8634	0.6726
EU256031.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8018	0.9406	0.8573	0.6685
EU256030.1	Genotype 1	true	4690	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8016	0.9357	0.8526	0.6626
EU256028.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8001	0.9410	0.8627	0.6776
EU256027.1	Genotype 1	true	4869	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7961	0.9360	0.8558	0.6733
EU256026.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7999	0.9428	0.8626	0.6782
EU256024.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7954	0.9346	0.8614	0.6748
EU256020.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8013	0.9365	0.8647	0.6749
EU256019.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8003	0.9383	0.8542	0.6802
EU256018.1	Genotype 1	true	4796	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9396	0.8652	0.6743
EU256017.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7933	0.9328	0.8535	0.6636
EU256016.1	Genotype 1	true	4914	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7967	0.9378	0.8599	0.6765
EU256015.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7974	0.9375	0.8596	0.6779
EU256014.1	Genotype 1	true	4869	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7948	0.9308	0.8515	0.6730
EU256013.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8033	0.9340	0.8641	0.6730
EU256012.1	Genotype 1	true	4869	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8008	0.9404	0.8622	0.6781
EU256011.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8042	0.9384	0.8643	0.6725
EU256010.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8016	0.9393	0.8583	0.6765
EU256009.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7972	0.9276	0.8576	0.6736
EU256008.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7977	0.9392	0.8557	0.6748
EU256005.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7998	0.9311	0.8563	0.6775
EU256003.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8008	0.9310	0.8571	0.6707
EU256002.1	Genotype 1	true	4869	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7951	0.9310	0.8602	0.6850
EU255998.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7975	0.9364	0.8618	0.6682
EU255997.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7993	0.9337	0.8659	0.6708
EU255994.1	Genotype 1	true	4794	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7963	0.9369	0.8571	0.6744
EU255993.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7948	0.9328	0.8544	0.6734
EU255992.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7992	0.9414	0.8671	0.6787
EU255991.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7947	0.9391	0.8620	0.6776
EU255990.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9405	0.8638	0.6726
EU255988.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8027	0.9422	0.8671	0.6713
EU255986.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7983	0.9441	0.8707	0.6824
EU255985.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7985	0.9409	0.8683	0.6843
EU255984.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7963	0.9279	0.8639	0.6763
EU255983.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8004	0.9435	0.8674	0.6829
EU255981.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8032	0.9525	0.8681	0.6716
EU255980.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8017	0.9484	0.8643	0.6763
EU255979.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8015	0.9450	0.8666	0.6829
EU255978.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9387	0.8665	0.6722
EU255977.1	Genotype 1	true	4881	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8004	0.9440	0.8612	0.6802
EU255976.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7988	0.9466	0.8675	0.6817
EU255975.1	Genotype 1	true	4833	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8005	0.9402	0.8664	0.6734
EU255974.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8016	0.9410	0.8657	0.6741
EU255973.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8002	0.9451	0.8664	0.6826
EU255971.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7986	0.9423	0.8649	0.6792
EU255970.1	Genotype 1	true	4813	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7993	0.9233	0.8522	0.6628
EU255969.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7992	0.9406	0.8691	0.6796
EU255968.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8030	0.9457	0.8675	0.6701
EU255965.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8037	0.9445	0.8686	0.6697
EU255963.1	Genotype 1	true	4794	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8044	0.9421	0.8596	0.6695
EU255958.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9260	0.8530	0.6766
EU255956.1	Genotype 1	true	4833	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8018	0.9329	0.8615	0.6743
EU255953.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7962	0.9349	0.8626	0.6707
EU255942.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9337	0.8539	0.6719
EU255940.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7989	0.9366	0.8537	0.6704
EU255938.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8039	0.9406	0.8667	0.6805
EU255936.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7985	0.9389	0.8659	0.6730
EU255935.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8016	0.9380	0.8675	0.6743
EU255934.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9384	0.8612	0.6759
EU255932.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8039	0.9401	0.8612	0.6707
EU255931.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8030	0.9418	0.8670	0.6728
EU569723.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8005	0.9375	0.8537	0.6710
EU569722.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8006	0.9435	0.8647	0.6755
EU529680.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8005	0.9338	0.8597	0.6693
EU529679.1	Genotype 1	true	4938	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8011	0.9345	0.8643	0.6805
EU529677.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7999	0.9356	0.8595	0.6661
EU529676.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8013	0.9278	0.8521	0.6743
EU482884.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7969	0.9361	0.8506	0.6751
EU482878.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7985	0.9434	0.8670	0.6749
EU482876.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7986	0.9359	0.8584	0.6699
EU482873.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7990	0.9421	0.8588	0.6723
EU482870.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8011	0.9394	0.8647	0.6755
EU482868.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8015	0.9352	0.8684	0.6737
EU482866.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7994	0.9342	0.8543	0.6674
EU482865.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7948	0.9378	0.8614	0.6849
EU482864.1	Genotype 1	true	4833	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8000	0.9350	0.8624	0.6770
EU482863.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7956	0.9342	0.8563	0.6794
EU482862.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9357	0.8609	0.6750
EU482861.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7994	0.9338	0.8628	0.6769
EU482856.1	Genotype 1	true	4794	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8002	0.9369	0.8567	0.6643
EU482852.1	Genotype 1	true	4796	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8021	0.9444	0.8647	0.6733
EU482850.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8022	0.9426	0.8665	0.6782
EU482847.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8023	0.9389	0.8640	0.6670
EU482846.1	Genotype 1	true	4750	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7969	0.9248	0.8556	0.6649
EU482845.1	Genotype 1	true	4789	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7974	0.9369	0.8552	0.6727
EU482843.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8035	0.9439	0.8644	0.6713
EU482841.1	Genotype 1	true	4805	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9422	0.8634	0.6767
