sequence_id	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2
PX386905.1	true	4338	10572	0.000000001344	3Seq	ref_FN666429	ref_DQ364460
PX386904.1	true	1198	5474	0.000000000057	3Seq	ref_JF779679	ref_NC_030791
PX386902.1	true	1218	5112	0.000000000394	3Seq	ref_JF779679	ref_NC_030791
PX386901.1	true	4338	10529	0.000000002351	3Seq	ref_FN666429	ref_DQ364460
PX386899.1	true	4551	9642	0.000000001959	3Seq	ref_EF632071	ref_AB677527
PX386896.1	true	3917	6028	0.000000000085	3Seq	ref_DQ314806	ref_JF735120
PX386893.1	true	5187	9079	0.000000000153	3Seq	ref_EF424629	ref_AB677530
PX386890.1	true	4798	9649	0.000000001954	3Seq	ref_EF632071	ref_DQ364460
PX386888.1	true	1218	4552	0.000000001364	3Seq	ref_JF779679	ref_NC_030791
PX386887.1	true	5072	10429	0.000000001117	3Seq	ref_JF735114	ref_DQ364460
PX386884.1	true	4338	10450	0.000000003374	3Seq	ref_FN666429	ref_DQ364460
PX386883.1	true	4818	9642	0.000000000681	3Seq	ref_EF632071	ref_AB677530
PX386880.1	true	1218	5474	0.000000000002	3Seq	ref_JF779679	ref_NC_030791
PX386876.1	true	2150	2534	0.000000000587	3Seq	ref_KJ470619	ref_EF424626
PX386874.1	true	5483	9428	0.000000000003	3Seq	ref_NC_030791	ref_AB677530
PX386873.1	true	1856	2424	0.000000000033	3Seq	ref_KJ470618	ref_EU246934
PX386872.1	true	1975	5212	0.000000000039	3Seq	ref_JX227964	ref_NC_030791
PX386865.1	true	3895	6028	0.000000000599	3Seq	ref_DQ314806	ref_JF735120
PX386863.1	true	2131	5390	0.000000004137	3Seq	ref_JX227957	ref_NC_030791
PX386862.1	true	4231	10557	0.000000000140	3Seq	ref_HQ537007	ref_DQ364460
PX386860.1	true	5652	9082	0.000000000340	3Seq	ref_NC_009825	ref_AB677530
PX386859.1	true	3896	10561	0.000000000133	3Seq	ref_HQ537007	ref_AB622121
PX386858.1	true	5187	8789	0.000000001291	3Seq	ref_EF424629	ref_AB677530
PX386854.1	true	4905	9642	0.000000002372	3Seq	ref_EF632071	ref_AB677530
PX386850.1	true	5587	9642	0.000000000238	3Seq	ref_EF632071	ref_AB677530
PX386848.1	true	4782	9642	0.000000002582	3Seq	ref_EF632071	ref_AB677530
PX386847.1	true	5187	9079	0.000000000114	3Seq	ref_EF424629	ref_AB677530
PX386844.1	true	5652	9426	0.000000000300	3Seq	ref_NC_009825	ref_AB677530
PX386843.1	true	1906	5215	0.000000000757	3Seq	ref_JF735130	ref_NC_030791
PX386842.1	false	0	0				
PX386838.1	true	3895	6043	0.000000003267	3Seq	ref_DQ314806	ref_JF735120
PX386837.1	true	1243	5474	0.000000000528	3Seq	ref_JF779679	ref_NC_030791
PX386835.1	true	3893	10561	0.000000000081	3Seq	ref_HQ537007	ref_AB622121
PX386834.1	true	1198	5538	0.000000000985	3Seq	ref_JF779679	ref_NC_030791
PX386832.1	true	5660	9642	0.000000001923	3Seq	ref_EF632071	ref_AB677530
PX386831.1	true	1975	5212	0.000000000061	3Seq	ref_JX227964	ref_NC_030791
PX386830.1	true	4798	9758	0.000000000199	3Seq	ref_EF632071	ref_DQ364460
PX386828.1	true	1898	5212	0.000000000043	3Seq	ref_JX227964	ref_NC_030791
PX386824.1	true	1151	4335	0.000000003982	3Seq	ref_DQ364460	ref_NC_030791
PX386822.1	true	1243	4686	0.000000001349	3Seq	ref_JF779679	ref_NC_030791
PX386821.1	true	3999	10461	0.000000000086	3Seq	ref_HQ537007	ref_DQ364460
PX386820.1	false	0	0				
PX386817.1	true	3893	10561	0.000000006108	3Seq	ref_HQ537007	ref_AB622121
PX386812.1	true	1894	2398	0.000000000123	3Seq	ref_FJ407092	ref_DQ835768
PX386810.1	true	5652	9426	0.000000000220	3Seq	ref_NC_009825	ref_AB677530
PX386809.1	true	1207	5474	0.000000001565	3Seq	ref_JF779679	ref_NC_030791
PX386808.1	true	5474	10452	0.000000000215	3Seq	ref_FN666429	ref_JF779679
PX386802.1	true	5674	10478	0.000000000027	3Seq	ref_JF735120	ref_DQ364460
PX386799.1	true	4905	9642	0.000000002372	3Seq	ref_EF632071	ref_AB677530
PX386797.1	true	1936	2502	0.000000000041	3Seq	ref_FJ407092	ref_EF424626
PX386796.1	true	5660	9642	0.000000000311	3Seq	ref_EF632071	ref_AB677530
PX386791.1	true	4797	9758	0.000000003186	3Seq	ref_EF632071	ref_DQ364460
PX386787.1	true	5220	9529	0.000000004766	3Seq	ref_NC_030791	ref_AB677530
PX386781.1	true	1243	5112	0.000000000679	3Seq	ref_JF779679	ref_NC_030791
PX386776.1	true	5072	10429	0.000000000132	3Seq	ref_JF735114	ref_DQ364460
PX386773.1	true	2131	5337	0.000000007120	3Seq	ref_JX227957	ref_NC_030791
PX386772.1	true	4336	10568	0.000000000178	3Seq	ref_FN666429	ref_AB622121
PX386771.1	true	5660	9642	0.000000001135	3Seq	ref_EF632071	ref_AB677530
PX386768.1	true	5187	9025	0.000000000252	3Seq	ref_EF424629	ref_AB677530
PX386763.1	true	1835	5390	0.000000000016	3Seq	ref_JX227957	ref_NC_030791
PX386762.1	true	5675	10450	0.000000007048	3Seq	ref_FN666429	ref_AB677530
PX386761.1	true	5660	9642	0.000000000014	3Seq	ref_EF632071	ref_AB677530
PX386760.1	true	4462	9091	0.000000006739	3Seq	ref_EF632071	ref_AB677527
PX386759.1	true	4359	10557	0.000000000434	3Seq	ref_HQ537007	ref_DQ364460
PX386753.1	true	5502	10452	0.000000001499	3Seq	ref_FN666429	ref_JF779679
PX386752.1	false	0	0				
PX386751.1	true	5072	10450	0.000000000106	3Seq	ref_JF735114	ref_DQ364460
PX386750.1	true	4535	9642	0.000000001454	3Seq	ref_EF632071	ref_AB622121
PX386749.1	true	3893	10561	0.000000000066	3Seq	ref_HQ537007	ref_AB622121
PX386744.1	true	4923	10551	0.000000000639	3Seq	ref_FN666429	ref_DQ364460
PX386742.1	true	1913	5215	0.000000001468	3Seq	ref_JF735130	ref_NC_030791
PX386741.1	true	3900	7455	0.000000000092	3Seq	ref_DQ314806	ref_DQ364460
PX386738.1	true	5660	9642	0.000000000096	3Seq	ref_EF632071	ref_AB677530
PX386736.1	true	4818	9642	0.000000000037	3Seq	ref_EF632071	ref_AB677530
PX386735.1	true	2102	2505	0.000000000103	3Seq	ref_JX227955	ref_EF424626
PX386734.1	true	5660	9642	0.000000009353	3Seq	ref_EF632071	ref_AB677530
PX386733.1	true	5664	10572	0.000000002641	3Seq	ref_FN666428	ref_AB677530
PX386732.1	true	5474	10424	0.000000000072	3Seq	ref_JF735120	ref_JF779679
PX386730.1	true	4545	9642	0.000000003069	3Seq	ref_EF632071	ref_AB677527
PX386729.1	true	4238	10536	0.000000000204	3Seq	ref_HQ537007	ref_DQ364460
PX386727.1	true	4797	9642	0.000000000010	3Seq	ref_EF632071	ref_AB677530
PX386723.1	true	4270	10557	0.000000001790	3Seq	ref_HQ537007	ref_DQ364460
PX386722.1	true	5785	9082	0.000000006397	3Seq	ref_NC_009825	ref_AB677530
PX386720.1	true	1871	2498	0.000000000055	3Seq	ref_KJ470618	ref_EF424626
PX386719.1	true	1797	5215	0.000000000302	3Seq	ref_JF735130	ref_NC_030791
PX386717.1	true	4354	10450	0.000000002158	3Seq	ref_FN666428	ref_DQ364460
PX216755.1	false	0	0				
PX216754.1	false	0	0				
PV879563.1	true	4374	10424	0.000000000409	3Seq	ref_JF735116	ref_AB677527
PV879562.1	true	4373	10424	0.000000001612	3Seq	ref_JF735116	ref_AB677527
PV879561.1	true	3889	10550	0.000000011540	3Seq	ref_HQ537007	ref_DQ364460
PV879560.1	false	0	0				
PV289221.1	true	1207	4335	0.000000000164	3Seq	ref_DQ364460	ref_NC_030791
PV289220.1	true	1902	2502	0.000000000073	3Seq	ref_FJ407092	ref_EF424626
PV289219.1	true	4797	9642	0.000000001062	3Seq	ref_EF632071	ref_AB677530
PV289218.1	true	828	10705	0.000000000000	3Seq	ref_AB661382	ref_D28917
PV289217.1	true	1243	5215	0.000000000285	3Seq	ref_AB677530	ref_NC_030791
PV289216.1	true	987	10705	0.000000000000	3Seq	ref_AB677530	ref_D28917
PV289215.1	true	815	10705	0.000000000001	3Seq	ref_AB661388	ref_D28917
PV289214.1	true	5629	10158	0.000000000191	3Seq	ref_FN666429	ref_JF779679
PV289213.1	true	5629	10158	0.000000000462	3Seq	ref_FN666429	ref_JF779679
PV289212.1	false	0	0				
PV289211.1	true	1218	5487	0.000000001535	3Seq	ref_JF779679	ref_NC_030791
PV289210.1	true	995	10705	0.000000000000	3Seq	ref_AB622121	ref_D28917
PV289209.1	true	1243	5215	0.000000000809	3Seq	ref_AB677530	ref_NC_030791
PV289208.1	false	0	0				
PV289207.1	true	1243	5215	0.000000000498	3Seq	ref_AB677530	ref_NC_030791
PV289206.1	false	0	0				
PV289205.1	true	2102	2502	0.000000001398	3Seq	ref_FJ407092	ref_EF424626
PV289204.1	true	1201	5073	0.000000003108	3Seq	ref_DQ364460	ref_NC_030791
PV289203.1	false	0	0				
PV289202.1	true	1207	5073	0.000000001648	3Seq	ref_DQ364460	ref_NC_030791
PV289201.1	true	5494	10139	0.000000000766	3Seq	ref_FN666429	ref_JF779679
PV289200.1	true	3895	8935	0.000000000693	3Seq	ref_EF424629	ref_AB677527
PV289199.1	false	0	0				
PV289198.1	true	1218	5474	0.000000000091	3Seq	ref_JF779679	ref_NC_030791
PV289197.1	true	1818	5213	0.000000000207	3Seq	ref_JX227964	ref_NC_030791
PV289196.1	true	1218	5215	0.000000000471	3Seq	ref_AB677530	ref_NC_030791
PV289195.1	true	4798	9642	0.000000000695	3Seq	ref_EF632071	ref_DQ364460
PV289194.1	false	0	0				
PV289193.1	true	4462	9674	0.000000000619	3Seq	ref_EF632071	ref_AB677527
PV289192.1	true	1913	1967	0.000000010906	3Seq	ref_NC_009824	ref_FJ462436
PV289191.1	true	1904	1953	0.000000000379	3Seq	ref_NC_009824	ref_DQ364460
PV289190.1	true	5660	9642	0.000000008115	3Seq	ref_EF632071	ref_AB677530
PV289189.1	true	4818	9642	0.000000000971	3Seq	ref_EF632071	ref_AB677530
PV289188.1	true	3875	5660	0.000000000951	3Seq	ref_HQ537007	ref_HM777358
PV289187.1	true	878	4335	0.000000004253	3Seq	ref_DQ364460	ref_NC_030791
PV289186.1	true	1896	2164	0.000000000133	3Seq	ref_FJ407092	ref_DQ835769
PV289185.1	true	1833	2498	0.000000000028	3Seq	ref_KJ470618	ref_EF424626
PV289184.1	true	1081	10264	0.000000000139	3Seq	ref_AY651061	ref_D49374
PV289183.1	true	1933	2377	0.000000000934	3Seq	ref_FJ407092	ref_DQ835769
PV289182.1	true	1207	4335	0.000000000529	3Seq	ref_DQ364460	ref_NC_030791
PV289181.1	true	4905	9642	0.000000000236	3Seq	ref_EF632071	ref_AB677530
PV289180.1	true	3893	9642	0.000000000629	3Seq	ref_EF632071	ref_AB677530
PV289179.1	true	3900	7460	0.000000007636	3Seq	ref_DQ314806	ref_AB677527
PV289178.1	true	651	3884	0.000000001057	3Seq	ref_DQ364460	ref_HQ537007
PV289177.1	true	5511	10158	0.000000004005	3Seq	ref_FN666429	ref_JF779679
PV289176.1	true	2040	2410	0.000000007093	3Seq	ref_JX227955	ref_D84263
PV289175.1	true	2070	2410	0.000000004268	3Seq	ref_JX227955	ref_DQ835768
PV289174.1	true	4892	9792	0.000000003745	3Seq	ref_EF632071	ref_DQ364460
PV289173.1	true	651	3884	0.000000006992	3Seq	ref_DQ364460	ref_HQ537007
PV289172.1	true	5660	9642	0.000000008598	3Seq	ref_EF632071	ref_AB677530
PV289171.1	true	1844	2121	0.000000000964	3Seq	ref_KJ470618	ref_FJ462438
PV289170.1	true	1902	2534	0.000000001800	3Seq	ref_KJ470618	ref_EF424626
PV289169.1	true	1893	2136	0.000000004916	3Seq	ref_KJ470618	ref_AF064490
PV289168.1	true	1218	5474	0.000000002408	3Seq	ref_JF779679	ref_NC_030791
PV289167.1	true	4545	9622	0.000000002191	3Seq	ref_EF632071	ref_AB677527
PV289166.1	true	4545	9622	0.000000002364	3Seq	ref_EF632071	ref_AB677527
PV289165.1	false	0	0				
PV289164.1	true	3893	8932	0.000000003453	3Seq	ref_EF424629	ref_AB622121
PV289163.1	true	1837	2136	0.000000000359	3Seq	ref_KJ470618	ref_AF064490
PV289162.1	true	5187	8789	0.000000000020	3Seq	ref_EF424629	ref_AB677530
PV289161.1	true	1243	5112	0.000000010237	3Seq	ref_JF779679	ref_NC_030791
PV289160.1	true	3894	7422	0.000000010798	3Seq	ref_DQ314806	ref_AY587845
PV289159.1	true	1218	4686	0.000000002393	3Seq	ref_JF779679	ref_NC_030791
PV289158.1	true	1207	4335	0.000000000606	3Seq	ref_DQ364460	ref_NC_030791
PV289157.1	false	0	0				
PV289156.1	true	4455	7714	0.000000001016	3Seq	ref_KJ470623	ref_JF779679
PV289155.1	true	5076	8789	0.000000004179	3Seq	ref_EF424629	ref_JF779679
PV289154.1	true	2131	5390	0.000000000412	3Seq	ref_JX227957	ref_NC_030791
PV289153.1	true	1805	2505	0.000000003256	3Seq	ref_JF735124	ref_EF424627
PV289152.1	false	0	0				
PV289151.1	true	1925	5215	0.000000006206	3Seq	ref_JF735130	ref_NC_030791
PV289150.1	false	0	0				
PV289149.1	true	2883	5337	0.000000000923	3Seq	ref_JF735127	ref_NC_030791
PV289148.1	true	2883	5337	0.000000010110	3Seq	ref_JF735127	ref_NC_030791
PV289147.1	true	2131	5390	0.000000000894	3Seq	ref_JX227957	ref_NC_030791
PV289146.1	true	5660	9091	0.000000004699	3Seq	ref_EU246939	ref_AB677530
PV289145.1	true	1920	2502	0.000000000004	3Seq	ref_FJ407092	ref_EF424626
PV289144.1	true	5660	9622	0.000000005711	3Seq	ref_EF632071	ref_AB677530
PV289143.1	true	1913	2398	0.000000000897	3Seq	ref_KJ470618	ref_EF424626
PV289142.1	true	1896	2424	0.000000000343	3Seq	ref_FJ407092	ref_DQ835769
PV289141.1	true	1898	2398	0.000000000000	3Seq	ref_KJ470618	ref_EF424626
PV289140.1	true	1139	5215	0.000000000717	3Seq	ref_AB677530	ref_NC_030791
PV289139.1	true	5660	9642	0.000000002174	3Seq	ref_EF632071	ref_AB677530
PV289138.1	false	0	0				
PV289137.1	false	0	0				
PV289136.1	true	3895	8935	0.000000005271	3Seq	ref_EF424629	ref_AB677527
PV184570.1	true	1218	5474	0.000000001711	3Seq	ref_JF779679	ref_NC_030791
PV184568.1	true	4175	10551	0.000000000042	3Seq	ref_JX227953	ref_DQ364460
PV184567.1	true	2131	5390	0.000000000156	3Seq	ref_JX227957	ref_NC_030791
PV184563.1	true	1243	4686	0.000000000802	3Seq	ref_JF779679	ref_NC_030791
PV184561.1	true	4474	9642	0.000000003731	3Seq	ref_EF632071	ref_AB677530
PV184556.1	true	1243	4686	0.000000000062	3Seq	ref_JF779679	ref_NC_030791
PV184555.1	true	1207	4884	0.000000000849	3Seq	ref_DQ364460	ref_NC_030791
PV184551.1	true	651	3884	0.000000004103	3Seq	ref_DQ364460	ref_HQ537007
PV184549.1	true	5660	9642	0.000000000593	3Seq	ref_EF632071	ref_AB677530
PV184548.1	true	1843	2132	0.000000000483	3Seq	ref_KJ470618	ref_JX183557
PV184547.1	true	1902	2496	0.000000000551	3Seq	ref_JF735124	ref_EF424626
PV184546.1	true	4338	10561	0.000000001435	3Seq	ref_FN666429	ref_DQ364460
PV184542.1	true	1896	2155	0.000000005575	3Seq	ref_FJ407092	ref_EU798761
PV184539.1	true	1925	5215	0.000000010222	3Seq	ref_JF735130	ref_NC_030791
PV184538.1	true	5629	10565	0.000000000155	3Seq	ref_FN666429	ref_JF779679
PV184536.1	true	2069	2402	0.000000002950	3Seq	ref_FJ407092	ref_EU246938
PV184535.1	true	5149	10555	0.000000002912	3Seq	ref_FN666429	ref_JF779679
PV184534.1	true	4508	9642	0.000000000944	3Seq	ref_EF632071	ref_AB677530
PV184533.1	true	1218	5474	0.000000011412	3Seq	ref_JF779679	ref_NC_030791
PV184532.1	true	1902	2534	0.000000000016	3Seq	ref_KJ470618	ref_EF424626
PV184531.1	true	1243	4335	0.000000000105	3Seq	ref_AB622121	ref_NC_030791
PV184530.1	true	2131	5337	0.000000001421	3Seq	ref_JX227957	ref_NC_030791
PV184529.1	true	2024	2398	0.000000001656	3Seq	ref_FJ407092	ref_DQ835769
PV184528.1	true	4818	9758	0.000000000533	3Seq	ref_EF632071	ref_DQ364460
PV184527.1	true	1218	5474	0.000000000055	3Seq	ref_JF779679	ref_NC_030791
PV184526.1	true	4338	10561	0.000000000508	3Seq	ref_FN666429	ref_DQ364460
PV184525.1	true	3895	8789	0.000000006701	3Seq	ref_EF424629	ref_AB677527
PV184521.1	false	0	0				
PV184520.1	true	1207	4335	0.000000001309	3Seq	ref_DQ364460	ref_NC_030791
PV184517.1	true	2309	5895	0.000000003996	3Seq	ref_JX227957	ref_JF735120
PV184513.1	true	1820	2496	0.000000000135	3Seq	ref_JF735124	ref_EF424626
PV184511.1	true	1081	10866	0.000000000003	3Seq	ref_AY651061	ref_D49374
PV184509.1	true	1930	5215	0.000000010254	3Seq	ref_JF735130	ref_NC_030791
PV184508.1	true	1897	5215	0.000000000499	3Seq	ref_JF735130	ref_NC_030791
PV184506.1	true	1911	2505	0.000000000246	3Seq	ref_JX227955	ref_EF424626
PV184504.1	true	5494	10555	0.000000001719	3Seq	ref_FN666429	ref_JF779679
PV184503.1	true	4222	10557	0.000000000115	3Seq	ref_HQ537007	ref_DQ364460
PV184502.1	true	1207	4335	0.000000007573	3Seq	ref_DQ364460	ref_NC_030791
PV184501.1	true	3890	8789	0.000000001439	3Seq	ref_EF424629	ref_AB677527
PV184500.1	false	0	0				
PV184499.1	true	4462	9165	0.000000001819	3Seq	ref_EF632071	ref_AB677527
PV184498.1	false	0	0				
PV184497.1	true	5660	8790	0.000000004795	3Seq	ref_EF424629	ref_AB677530
PV184496.1	true	720	3884	0.000000002656	3Seq	ref_DQ364460	ref_HQ537007
PV184492.1	true	4812	9792	0.000000000093	3Seq	ref_EF632071	ref_DQ364460
PV184486.1	true	1204	10866	0.000000000179	3Seq	ref_HQ850279	ref_D49374
PV184485.1	false	0	0				
PV184484.1	true	1897	5337	0.000000005615	3Seq	ref_JX227957	ref_NC_030791
PV184482.1	true	4551	9642	0.000000004633	3Seq	ref_EF632071	ref_AB622121
PV184480.1	false	0	0				
PV184479.1	true	5494	10555	0.000000002538	3Seq	ref_FN666429	ref_JF779679
PV184478.1	true	3890	9121	0.000000000802	3Seq	ref_EF424629	ref_AB677527
PV184477.1	true	1159	10865	0.000000000000	3Seq	ref_D10988	ref_D49374
PV184473.1	true	3894	7422	0.000000005730	3Seq	ref_D63822	ref_AY587845
PV184472.1	false	0	0				
PV184471.1	true	1843	2339	0.000000000003	3Seq	ref_KJ470618	ref_JX183557
PQ365540.1	true	1902	2422	0.000000000210	3Seq	ref_KJ470618	ref_EF424626
PQ365539.1	false	0	0				
PQ365538.1	true	4797	9642	0.000000002784	3Seq	ref_EF632071	ref_AB677530
PQ365537.1	true	4335	10634	0.000000001519	3Seq	ref_NC_030791	ref_DQ364460
PQ365536.1	true	2069	2398	0.000000000012	3Seq	ref_FJ407092	ref_DQ835768
PQ365535.1	false	0	0				
PQ365534.1	true	2131	5390	0.000000001089	3Seq	ref_JX227957	ref_NC_030791
PQ365532.1	true	3893	10561	0.000000001412	3Seq	ref_HQ537007	ref_AB622121
PQ365531.1	true	3893	10561	0.000000002171	3Seq	ref_HQ537007	ref_AB622121
PQ365530.1	true	1902	2255	0.000000009662	3Seq	ref_FJ407092	ref_EU798760
PQ365529.1	true	2128	5337	0.000000001591	3Seq	ref_JX227957	ref_NC_030791
PQ365528.1	true	1241	5609	0.000000000850	3Seq	ref_AB622121	ref_NC_030791
PQ365526.1	false	0	0				
PQ365525.1	true	5187	8789	0.000000003902	3Seq	ref_EF424629	ref_AB677530
PQ365524.1	true	4125	9064	0.000000004822	3Seq	ref_JX227957	ref_DQ364460
PQ365523.1	false	0	0				
PQ365522.1	true	3893	10561	0.000000000283	3Seq	ref_HQ537007	ref_AB622121
PQ365521.1	true	4231	10562	0.000000000755	3Seq	ref_HQ537007	ref_DQ364460
PQ365520.1	true	3893	10536	0.000000000494	3Seq	ref_HQ537007	ref_AB677530
PQ365519.1	true	4963	9165	0.000000000218	3Seq	ref_EF632071	ref_AB677527
PQ365518.1	true	1207	5224	0.000000002504	3Seq	ref_DQ364460	ref_NC_030791
PQ365517.1	true	3889	10461	0.000000001167	3Seq	ref_HQ537007	ref_DQ364460
PQ365515.1	false	0	0				
PQ365514.1	true	4335	10631	0.000000000686	3Seq	ref_NC_030791	ref_AB677530
PQ365513.1	true	3674	9294	0.000000000240	3Seq	ref_FJ462441	ref_AB622121
PQ365512.1	false	0	0				
PQ365511.1	true	5172	8789	0.000000009523	3Seq	ref_EF424629	ref_AB677530
PQ365509.1	true	5070	8789	0.000000002195	3Seq	ref_EF424629	ref_AB677530
PQ365508.1	true	3893	10561	0.000000000845	3Seq	ref_HQ537007	ref_AB622121
PQ365506.1	false	0	0				
PQ365505.1	true	4203	10427	0.000000007841	3Seq	ref_JF735116	ref_DQ364460
PQ365504.1	false	0	0				
PQ365502.1	true	5072	10450	0.000000000994	3Seq	ref_JF735114	ref_DQ364460
PQ365501.1	true	3893	10561	0.000000000013	3Seq	ref_HQ537007	ref_AB622121
PQ365498.1	true	4335	10631	0.000000007564	3Seq	ref_NC_030791	ref_AB622121
PP445048.1	false	0	0				
OR497987.1	true	1218	5474	0.000000000446	3Seq	ref_JF779679	ref_NC_030791
OR497986.1	true	5782	10475	0.000000009380	3Seq	ref_JF735120	ref_AB677530
OR497985.1	true	1880	2339	0.000000002950	3Seq	ref_KJ470618	ref_JX183557
OR497984.1	true	1218	5474	0.000000003208	3Seq	ref_JF779679	ref_NC_030791
OR497983.1	true	1241	5474	0.000000002380	3Seq	ref_AB677530	ref_NC_030791
OR497982.1	true	1875	2399	0.000000000448	3Seq	ref_FJ407092	ref_EF424627
OR497981.1	true	2131	5337	0.000000002052	3Seq	ref_JX227957	ref_NC_030791
OR497980.1	true	1897	5390	0.000000006276	3Seq	ref_JX227957	ref_NC_030791
OR497979.1	true	3893	10561	0.000000000731	3Seq	ref_HQ537007	ref_AB622121
