accession_id	length	is_complete	is_annotated	isolate_collection_date	location	region	submitter_country	release_date	update_date
PZ302477.1	9485.0			2025-08-08	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302476.1	9340.0			2025-08-07	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302475.1	9444.0		True	2025-08-04	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302474.1	9442.0		True	2025-08-01	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302473.1	9218.0			2025-07-22	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302472.1	9599.0		True	2025-07-14	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302471.1	8972.0		True	2025-07-14	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302470.1	9482.0			2025-07-11	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302469.1	9403.0		True	2025-07-02	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302468.1	9217.0		True	2025-07-01	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302467.1	9002.0		True	2025-06-18	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302466.1	9039.0		True	2025-05-23	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302465.1	9427.0			2025-05-09	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302464.1	9075.0		True	2025-05-07	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302463.1	9442.0		True	2025-04-29	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302462.1	9442.0		True	2025-04-29	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302461.1	9403.0			2025-04-16	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302460.1	9386.0		True	2025-04-15	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302459.1	9459.0			2025-03-21	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302458.1	9002.0		True	2025-03-11	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302457.1	9426.0			2025-03-02	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302456.1	9442.0		True	2025-02-15	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302455.1	9460.0			2025-02-05	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302454.1	9386.0			2025-01-29	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ098544.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098543.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098542.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098541.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098540.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098539.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098538.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098537.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098536.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098535.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098534.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098533.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098532.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098531.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PZ098530.1	9315.0		True	2024	Russia: West Siberia, Tomsk region	Europe	Russia	2026-05-19T00:00:00Z	2026-05-19T00:00:00Z
PX459926.1	9298.0		True	2016	Cameroon	Africa		2025-10-20T00:00:00Z	2025-10-20T00:00:00Z
PX387040.1	9240.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387039.1	9413.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387038.1	9321.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387037.1	9393.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387036.1	9196.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387035.1	9162.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387034.1	9408.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387033.1	9237.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387032.1	9411.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387031.1	9418.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387030.1	9237.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387029.1	9157.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387028.1	9227.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387027.1	9420.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387026.1	9417.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387025.1	9392.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387024.1	9309.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387023.1	9312.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387022.1	9387.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387021.1	9306.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387020.1	9387.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387019.1	9387.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387018.1	9312.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387017.1	9416.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387016.1	9415.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387015.1	9551.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387014.1	9306.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387013.1	9410.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387012.1	9295.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387011.1	9320.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387010.1	9277.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387009.1	9328.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387008.1	9392.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387007.1	9329.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387006.1	9256.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387005.1	9421.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387004.1	9137.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387003.1	9243.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387002.1	9321.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387001.1	9345.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX387000.1	9198.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386999.1	9287.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386998.1	9340.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386997.1	9186.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386996.1	9337.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386995.1	9299.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386994.1	9226.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386993.1	9236.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386992.1	9292.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386991.1	9449.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386990.1	9406.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386989.1	9246.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386988.1	9418.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386987.1	9406.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386986.1	9392.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386985.1	9371.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386984.1	9415.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386983.1	9303.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386982.1	9397.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386981.1	9398.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386980.1	9398.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386979.1	9358.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386978.1	9358.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386977.1	9296.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386976.1	9325.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386975.1	9378.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386974.1	9319.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386973.1	9420.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386972.1	9331.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386971.1	9371.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386970.1	9413.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386969.1	9367.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386968.1	9345.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386967.1	9414.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386966.1	9418.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386965.1	9323.0		True	2012	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386964.1	9406.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386963.1	9245.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386962.1	9352.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386961.1	9329.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386960.1	9430.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386959.1	9409.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386958.1	9306.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386957.1	9420.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386956.1	9290.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386955.1	9312.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386954.1	9218.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386953.1	9317.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386952.1	9147.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386951.1	9393.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386950.1	9415.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386949.1	9233.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386948.1	9411.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386947.1	9309.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386946.1	9414.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386945.1	9315.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386944.1	9305.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386943.1	9419.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386942.1	9417.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386941.1	9342.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386940.1	9294.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386939.1	9183.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386938.1	9329.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386937.1	9329.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386936.1	9393.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386935.1	9225.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386934.1	9416.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386933.1	9419.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386932.1	9275.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386931.1	9306.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386930.1	9319.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386929.1	9397.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386928.1	9415.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386927.1	9391.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386926.1	9456.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386925.1	9422.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386924.1	9219.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386923.1	9298.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386922.1	9390.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386921.1	9422.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386920.1	9414.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386919.1	9409.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386918.1	9422.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386917.1	9252.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386916.1	9418.0		True	2014	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386915.1	9338.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386914.1	9319.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386913.1	9287.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386912.1	9420.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386911.1	9423.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386910.1	9427.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386909.1	9262.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386908.1	9306.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386907.1	9329.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386906.1	9303.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386905.1	9409.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386904.1	9415.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386903.1	9403.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386902.1	9426.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386901.1	9411.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386900.1	9295.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386899.1	9413.0		True	2013	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PQ899568.1	9481.0		True	2014	Canada: Quebec	North America	Canada	2025-04-01T00:00:00Z	2025-12-11T00:00:00Z
PQ899567.1	9431.0		True	2010	Canada: Quebec	North America	Canada	2025-04-01T00:00:00Z	2025-12-11T00:00:00Z
PX446960.1	9222.0		True	2015	Cameroon	Africa		2025-10-14T00:00:00Z	2025-10-14T00:00:00Z
PX446959.1	9255.0		True	2018	Cameroon	Africa		2025-10-14T00:00:00Z	2025-10-14T00:00:00Z
PX446232.1	9297.0		True	2018	Cameroon	Africa		2025-10-08T00:00:00Z	2025-10-08T00:00:00Z
PX446221.1	9238.0		True	2015	Cameroon	Africa		2025-10-14T00:00:00Z	2025-10-14T00:00:00Z
PX445004.1	9407.0		True	2016	Cameroon	Africa		2025-10-12T00:00:00Z	2025-10-12T00:00:00Z
PX445003.1	9324.0		True	2019	Cameroon	Africa		2025-10-12T00:00:00Z	2025-10-12T00:00:00Z
PX445002.1	9413.0		True	2016	Cameroon	Africa		2025-10-12T00:00:00Z	2025-10-12T00:00:00Z
PX445001.1	9440.0		True	2017	Cameroon	Africa		2025-10-12T00:00:00Z	2025-10-12T00:00:00Z
PX386898.1	9256.0		True	2016	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386897.1	9297.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386896.1	9419.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386895.1	9253.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386894.1	9284.0		True	2018	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386893.1	9432.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386892.1	9295.0		True	2015	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
PX386891.1	9312.0		True	2017	United Kingdom	Europe	United Kingdom	2025-10-19T00:00:00Z	2025-10-19T00:00:00Z
