sample	virus	genotype	subgenotype	gene	drug	mutation	detected	type
MW355364.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MG783570.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444049.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KU670940.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MW355271.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KT447527.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF346772.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355308.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504136.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355291.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PX724176.1	HEV	NA	NA	NA	NA	NA	NA	genotype
PQ557136.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
JQ013793.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MF480298.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355396.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH450024.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH450027.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504150.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355366.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW837255.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355388.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355369.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MK390971.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MT362711.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KJ013414.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
KU356186.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
JQ679013.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
PQ160058.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MF444145.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MW355367.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MH504130.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
MW355230.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504159.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MW355371.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF346773.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MN646696.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444118.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KU176131.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
PQ160049.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MF444081.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355224.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW002523.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MW355403.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MN629976.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355250.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444088.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355231.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PP475173.1	HEV	AL_4	AL_4b	NA	NA	NA	NA	genotype
MF444072.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355240.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444115.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
JF915746.1	HEV	AL_4	AL_4i	NA	NA	NA	NA	genotype
KU513561.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MH504144.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
KF303502.2	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
KY436898.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MK192408.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MH450030.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444085.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444114.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KU356189.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MF444100.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JQ679014.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
MH504125.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355333.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444112.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KC166967.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504162.1	HEV	AL_1	AL_1f	NA	NA	NA	NA	genotype
MF444141.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MF444053.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW835253.1	HEV	AL_7	AL_7a	NA	NA	NA	NA	genotype
MW355386.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444125.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH377727.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355322.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444101.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355385.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444080.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MH184583.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355404.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
JX121233.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
KY232313.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355284.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444129.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH410174.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MW355326.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355316.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PP982543.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MH504133.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MH504129.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MH450031.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KP294371.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
PV605258.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MH377726.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MT840367.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355338.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355351.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH184579.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MN646693.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444093.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KY929403.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MW355301.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KU980235.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
KC492825.1	HEV	AL_4	AL_4a	NA	NA	NA	NA	genotype
PV089662.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355237.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355287.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444069.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PV089665.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
HM055578.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MF444058.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355303.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ160050.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MF444055.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444027.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MT840362.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444052.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444076.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH377723.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444057.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH410175.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MW355392.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504145.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355379.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KX172133.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355221.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444128.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444068.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PX597111.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
KT447526.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
PQ206571.1	HEV	AL_4	AL_4d	NA	NA	NA	NA	genotype
MW355263.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KC618402.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KU356184.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MW355362.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
JF443726.1	HEV	AL_1	AL_1f	NA	NA	NA	NA	genotype
MW355281.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355297.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355290.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MH450021.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MH450020.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
HM439284.1	HEV	AL_4	AL_4i	NA	NA	NA	NA	genotype
MF444062.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PQ557137.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MH450029.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JQ740781.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MF444121.1	HEV	AL_3	AL_3_JQ953664	NA	NA	NA	NA	genotype
MF444116.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JQ013794.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MW355348.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355294.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355217.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
JF443720.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
PP706698.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444031.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355339.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH450026.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355280.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355228.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504157.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
PQ160052.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
JF443717.1	HEV	AL_1	AL_1c	NA	NA	NA	NA	genotype
MH450025.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KY929404.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MW355375.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444084.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444061.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444060.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MG211750.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355327.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444107.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355251.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PQ206570.1	HEV	AL_4	AL_4d	NA	NA	NA	NA	genotype
MW355264.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355401.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MT840360.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355239.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355262.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355253.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
HM152568.1	HEV	AL_4	AL_4d	NA	NA	NA	NA	genotype
MF444073.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
FJ527832.2	HEV	AL_3	AL_3b	NA	NA	NA	NA	genotype
MH504139.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
KR872414.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MW355257.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355304.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355383.1	HEV	AL_3	AL_3i	NA	NA	NA	NA	genotype
MH504143.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355255.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PQ160046.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
JQ993308.1	HEV	AL_4	AL_4i	NA	NA	NA	NA	genotype
MW355350.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MK192405.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MW355398.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355238.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PQ206573.1	HEV	AL_4	AL_4d	NA	NA	NA	NA	genotype
MW355233.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355306.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444131.1	HEV	AL_3	AL_3_JQ953664	NA	NA	NA	NA	genotype
MN614140.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MT362712.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PV089663.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MH504152.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
KR872415.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
FJ457024.1	HEV	AL_1	NA	NA	NA	NA	NA	genotype
MF444029.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355225.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
FJ653660.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF959765.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444043.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MN646691.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355360.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MN646695.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355321.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KC166970.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
FJ956757.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444139.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JF443724.1	HEV	AL_1	AL_1f	NA	NA	NA	NA	genotype
JF443722.1	HEV	AL_1	AL_1f	NA	NA	NA	NA	genotype
MH377722.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355278.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444135.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MN646689.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355332.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MH410176.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MW355377.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
PX597109.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
KT591534.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JQ953664.1	HEV	AL_3	AL_3_JQ953664	NA	NA	NA	NA	genotype
MF444106.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355395.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444143.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ160057.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
PX971288.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444046.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444089.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MH504149.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355318.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW837253.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355373.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KJ873911.1	HEV	AL_3	AL_3_KJ873911	NA	NA	NA	NA	genotype
MH184581.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
KU356185.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
KT591533.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355236.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
KC166969.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355218.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ206569.1	HEV	AL_4	AL_4d	NA	NA	NA	NA	genotype
MW355390.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355341.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444042.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF959764.1	HEV	AL_3	AL_3i	NA	NA	NA	NA	genotype
MN401237.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MT920909.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MW355266.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355273.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444120.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
KJ496144.1	HEV	AL_7	AL_7_KJ496144	NA	NA	NA	NA	genotype
MW355337.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW002522.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MW355268.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MK192407.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MF444138.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
JN906975.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355397.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355387.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504141.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
